action,decision,Vdig,Vmove,w,alien_level,step,row,col,total_reward,alpha,r_gained
move,move,0.0,0.0,0.5,,0,5,6,0.0,0.0,
move,move,0.0,0.0,0.5,,1,4,6,0.0,0.0,
move,move,0.0,0.0,0.5,,2,3,6,0.0,0.0,
move,move,0.0,0.0,0.5,,3,2,6,0.0,0.0,
move,move,0.0,0.0,0.5,,4,1,6,0.0,0.0,
move,move,0.0,0.0,0.5,,5,0,6,0.0,0.0,
move,move,0.0,0.0,0.5,,6,0,5,0.0,0.0,
move,move,0.0,0.0,0.5,,7,0,4,0.0,0.0,
move,move,0.0,0.0,0.5,,8,0,3,0.0,0.0,
move,move,0.0,0.0,0.5,,9,0,2,0.0,0.0,
move,move,0.0,0.0,0.5,,10,0,1,0.0,0.0,
move,move,0.0,0.0,0.5,,11,0,0,0.0,0.0,
move,move,0.0,0.0,0.5,,12,1,0,0.0,0.0,
stay,stay,0.8,0.0,0.6899744811276125,,13,1,0,0.8,0.8,0.8
stay,stay,0.8,0.05714285714285715,0.6776203184984102,,14,1,0,1.6,0.7428571428571429,0.8
stay,stay,0.8,0.10666666666666667,0.6667080326661231,,15,1,0,2.4000000000000004,0.6933333333333334,0.8
stay,stay,0.8,0.15000000000000002,0.6570104626734988,,16,1,0,3.2,0.65,0.8
stay,stay,0.8,0.18823529411764706,0.648343250177242,,17,1,0,4.0,0.611764705882353,0.8
stay,stay,0.8,0.2222222222222222,0.6405559128965911,,18,1,0,4.8,0.5777777777777778,0.8
stay,stay,0.8,0.25263157894736843,0.6335248293419516,,19,1,0,5.6,0.5473684210526316,0.8
stay,stay,0.8,0.27999999999999997,0.6271477663131956,,20,1,0,6.3999999999999995,0.52,0.8
stay,stay,0.8,0.30476190476190473,0.6213396150706235,,21,1,0,7.199999999999999,0.4952380952380953,0.8
stay,stay,0.8,0.3272727272727272,0.616029061803014,,22,1,0,7.999999999999999,0.47272727272727283,0.8
stay,stay,0.8,0.3478260869565217,0.6111559767628508,,23,1,0,8.799999999999999,0.45217391304347837,0.8
stay,stay,0.8,0.36666666666666664,0.6066693561082114,,24,1,0,9.6,0.4333333333333334,0.8
stay,stay,0.8,0.384,0.6025256899078177,,25,1,0,10.4,0.41600000000000004,0.8
stay,stay,0.8,0.4,0.598687660112452,,26,1,0,11.200000000000001,0.4,0.8
stay,stay,0.8,0.41481481481481486,0.5951230953180932,,27,1,0,12.000000000000002,0.3851851851851852,0.8
stay,stay,0.8,0.42857142857142866,0.5918041265003304,,28,1,0,12.800000000000002,0.3714285714285714,0.8
stay,stay,0.8,0.4413793103448277,0.588706500960365,,29,1,0,13.600000000000003,0.35862068965517235,0.8
stay,stay,0.8,0.4533333333333334,0.5858090215649848,,30,1,0,14.400000000000004,0.3466666666666666,0.8
stay,stay,0.8,0.4645161290322582,0.5830930858021938,,31,1,0,15.200000000000005,0.33548387096774185,0.8
stay,stay,0.8,0.47500000000000014,0.5805423048206596,,32,1,0,16.000000000000004,0.3249999999999999,0.8
stay,stay,0.8,0.484848484848485,0.578142186927616,,33,1,0,16.800000000000004,0.31515151515151507,0.8
stay,stay,0.8,0.49411764705882366,0.5758798733214736,,34,1,0,17.600000000000005,0.3058823529411764,0.8
stay,stay,0.8,0.502857142857143,0.5737439163804255,,35,1,0,18.400000000000006,0.29714285714285704,0.8
stay,stay,0.8,0.5111111111111113,0.5717240928009726,,36,1,0,19.200000000000006,0.28888888888888875,0.8
stay,stay,0.8,0.5189189189189191,0.5698112454177336,,37,1,0,20.000000000000007,0.281081081081081,0.8
stay,stay,0.8,0.5263157894736844,0.5679971487407178,,38,1,0,20.800000000000008,0.27368421052631564,0.8
stay,stay,0.8,0.5333333333333335,0.5662743941954391,,39,1,0,21.60000000000001,0.2666666666666665,0.8
